Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191023 15:13:27.929, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 5.000016, 5.749776, 0.920972,15.912675, 5.199589,-3.084822, 2.081853, 5.749776, 0.920972,15.912675, 5.161216,-2.845248, 2.081853, 4.094675, 1.905419,16.331699, 5.374210,-1.905786, 2.559990, 0.123864, 0.124340,14.699337,75.987331,124.739174, 0.124373, 0.109942,749338.930000,125.000000,75.987248,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001936,-10.375275,-0.040460,,,,,
Sing,USC,191023 15:13:45.441, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 3.999966, 5.155519, 1.146632,14.232750, 4.808041,-2.291338, 1.888333, 5.155519, 1.146632,14.232750, 4.760265,-2.076525, 1.888333, 3.873384, 2.024458,14.538356, 4.904510,-1.218367, 2.235898, 0.124367, 0.124828,14.696171,76.003381,124.940127, 0.124750, 0.110117,750381.565625,125.000000,76.003279,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001940,-10.375275,-0.035745,,,,,
Sing,USC,191023 15:14:02.732, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 2.999970, 4.837830, 1.183599,12.679410, 4.738659,-2.269036, 1.897030, 4.837830, 1.183599,12.679410, 4.689343,-2.067460, 1.897030, 3.888973, 2.005697,12.900621, 4.871009,-1.221754, 2.154910, 0.124524, 0.125027,14.698475,76.021718,125.095659, 0.125068, 0.110252,751337.588125,125.000000,76.021665,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001912,-10.375275,-0.033085,,,,,
Sing,USC,191023 15:14:20.031, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 1.999972, 4.620792, 1.222404,11.075210, 4.647940,-2.254861, 1.891564, 4.620792, 1.222404,11.075210, 4.597006,-2.062328, 1.891564, 3.949167, 2.006225,11.219867, 4.816297,-1.232735, 2.060903, 0.124561, 0.125113,14.697881,76.039230,125.086352, 0.125037, 0.110242,751194.012500,125.000000,76.039084,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001865,-10.375275,-0.031459,,,,,
Sing,USC,191023 15:14:37.535, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 1.000021, 4.530742, 1.254620, 9.542254, 4.559256,-2.430001, 1.857962, 4.530742, 1.254620, 9.542254, 4.506980,-2.241220, 1.857962, 4.076862, 2.022315, 9.614871, 4.794531,-1.424542, 1.941933, 0.124550, 0.124981,14.696950,76.060325,125.070807, 0.125003, 0.110226,751057.791875,125.000000,76.060181,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001875,-10.375275,-0.030950,,,,,
Sing,USC,191023 15:14:54.834, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-0.000020, 4.400290, 1.294533, 8.084992, 4.379846,-2.595266, 1.799024, 4.400290, 1.294533, 8.084992, 4.325907,-2.411921, 1.799024, 4.108649, 2.038968, 8.084991, 4.679014,-1.624093, 1.799022, 0.124526, 0.124998,14.696268,76.083272,125.062014, 0.124971, 0.110216,750890.876875,125.000000,76.083112,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001934,-10.375275,-0.029969,,,,,
Sing,USC,191023 15:15:12.240, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-1.000010, 4.425329, 1.347159, 6.757025, 4.147805,-3.147809, 1.673397, 4.425329, 1.347159, 6.757025, 4.091673,-2.963421, 1.673397, 4.241467, 2.095144, 6.684018, 4.572618,-2.207888, 1.593835, 0.124437, 0.124936,14.698873,76.106498,125.024615, 0.124905, 0.110181,750698.040625,125.000000,76.106432,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001938,-10.375275,-0.030302,,,,,
Sing,USC,191023 15:15:29.733, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-1.999992, 4.487071, 1.301386, 5.167440, 4.107411,-3.415356, 1.666596, 4.487071, 1.301386, 5.167440, 4.053187,-3.228394, 1.666596, 4.370705, 2.060787, 5.017961, 4.607605,-2.475519, 1.506711, 0.124366, 0.124836,14.698017,76.129774,124.957784, 0.124757, 0.110120,750179.595000,125.000000,76.129614,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001897,-10.375275,-0.031109,,,,,
Sing,USC,191023 15:15:47.032, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-3.000017, 4.575884, 1.282612, 3.559546, 3.976665,-3.770771, 1.597933, 4.575884, 1.282612, 3.559546, 3.923223,-3.580108, 1.597933, 4.464066, 2.057721, 3.330478, 4.562782,-2.844458, 1.360999, 0.124318, 0.124831,14.697338,76.153376,124.986751, 0.124806, 0.110143,750281.118125,125.000000,76.153235,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001967,-10.375275,-0.031816,,,,,
