Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191010 14:40:20.602, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 5.000013, 2.683122, 0.292036,10.207547, 3.685076,-2.005235, 1.772779, 2.683122, 0.292036,10.207547, 3.672908,-1.893439, 1.772779, 1.692137, 0.753519,10.394582, 3.776376,-1.226879, 2.109942, 0.082467, 0.082736,14.661482,55.477344,99.741228, 0.082469, 0.089642,640473.378125,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002006,-10.375275,-0.018715,,,,,
Sing,USC,191010 14:40:37.702, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 3.999991, 2.280624, 0.406105, 9.109853, 3.510291,-1.469069, 1.708327, 2.280624, 0.406105, 9.109853, 3.493370,-1.374042, 1.708327, 1.534689, 0.795961, 9.239414, 3.550770,-0.746550, 1.960791, 0.082927, 0.083194,14.661808,55.400039,100.009509, 0.082927, 0.089890,642380.048125,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002047,-10.375275,-0.015258,,,,,
Sing,USC,191010 14:40:54.698, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999997, 2.999968, 2.027471, 0.430224, 8.073452, 3.504142,-1.329402, 1.744765, 2.027471, 0.430224, 8.073452, 3.486217,-1.244924, 1.744765, 1.496801, 0.775755, 8.162975, 3.553117,-0.620635, 1.933369, 0.083083, 0.083335,14.660879,55.310859,100.097134, 0.083086, 0.089976,643133.163125,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001941,-10.375275,-0.012959,,,,,
Sing,USC,191010 14:41:11.805, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 1.999974, 1.903137, 0.462466, 7.062939, 3.428003,-1.474525, 1.716479, 1.903137, 0.462466, 7.062939, 3.408734,-1.395227, 1.716479, 1.546336, 0.785916, 7.121244, 3.537131,-0.782111, 1.841043, 0.083052, 0.083368,14.662613,55.240429,100.066998, 0.083055, 0.089956,643154.815000,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002019,-10.375275,-0.012042,,,,,
Sing,USC,191010 14:41:29.002, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999997, 0.999977, 1.834549, 0.487696, 5.982041, 3.327253,-1.569731, 1.697454, 1.834549, 0.487696, 5.982041, 3.306932,-1.493292, 1.697454, 1.617330, 0.798852, 6.011183, 3.485841,-0.896363, 1.758556, 0.083075, 0.083298,14.662166,55.154937,100.071535, 0.083075, 0.089967,643365.811250,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002002,-10.375275,-0.011520,,,,,
Sing,USC,191010 14:41:46.203, 0.000000, 0.000000, 0.000028, 0.000000, 0.000000, 9.999997,-0.000015, 1.821720, 0.538765, 5.025060, 3.165360,-1.795186, 1.623950, 1.821720, 0.538765, 5.025060, 3.142912,-1.719282, 1.623950, 1.700489, 0.846918, 5.025060, 3.393714,-1.147401, 1.623948, 0.083079, 0.083310,14.663344,55.073832,100.063996, 0.083086, 0.089967,643581.446875,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001961,-10.375275,-0.011817,,,,,
Sing,USC,191010 14:42:03.298, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000, 9.999997,-1.000013, 1.854061, 0.628365, 4.131629, 2.964503,-2.181331, 1.474367, 1.854061, 0.628365, 4.131629, 2.938322,-2.104079, 1.474367, 1.788626, 0.940772, 4.101036, 3.284287,-1.561879, 1.417264, 0.083069, 0.083278,14.664871,54.999724,100.048420, 0.083071, 0.089960,643636.170000,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002019,-10.375275,-0.012039,,,,,
Sing,USC,191010 14:42:20.507, 0.000000, 0.000000, 0.000039, 0.000000, 0.000000, 9.999997,-1.999983, 1.933288, 0.697383, 2.968890, 2.773963,-2.354258, 1.358205, 1.933288, 0.697383, 2.968890, 2.744906,-2.273704, 1.358205, 1.885343, 1.022500, 2.904862, 3.143542,-1.762514, 1.249260, 0.083092, 0.083334,14.661733,54.909328,100.060851, 0.083092, 0.089979,643805.800000,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001968,-10.375275,-0.013057,,,,,
Sing,USC,191010 14:42:37.502, 0.000000, 0.000000, 0.000033, 0.000000, 0.000000, 9.999998,-3.000019, 1.998581, 0.815809, 1.924709, 2.492633,-2.637072, 1.173497, 1.998581, 0.815809, 1.924709, 2.458641,-2.553797, 1.173497, 1.924783, 1.150465, 1.826477, 2.922242,-2.088061, 1.021958, 0.083015, 0.083257,14.662304,54.826392,100.006534, 0.083020, 0.089937,643679.680000,100.000000,59.999969,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001966,-10.375275,-0.013534,,,,,
