Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F
Sing,USC,191002 14:25:19.521,0,0,0.000039,0,0.000039,0,-20.916014,7.602929,0.112496,-18.613412,0.250617,-4.454785,0.108035,7.602929,0.112496,-18.613412,0.24593,-4.137996,0.108035,0.457686,0.112496,-20.100216,0.267899,-4.137996,0.014777,0.082229,0.08244,14.647484,56.40079,99.732038,0.08223,0.089554,637789.8769,100,71.821919
Sing,USC,191002 14:25:36.224,0,0,0.000039,0,0.000039,0,-21.91198,8.384275,0.085725,-19.673931,0.275376,-4.525563,0.124694,8.384275,0.085725,-19.673931,0.271804,-4.176218,0.124694,0.43741,0.085725,-21.380604,0.29829,-4.176218,0.016155,0.082271,0.082472,14.645818,56.335391,99.755942,0.082267,0.089581,637984.3369,100,71.821919
Sing,USC,191002 14:25:53.025,0,0,0.000039,0,0.000039,0,-22.908025,9.195503,0.069107,-20.595634,0.282511,-4.67465,0.138339,9.195503,0.069107,-20.595634,0.279632,-4.291504,0.138339,0.454229,0.069106,-22.549724,0.310997,-4.291504,0.020834,0.082209,0.082416,14.647629,56.279445,99.706443,0.082211,0.089541,637921.6494,100,71.821919
Sing,USC,191002 14:26:09.727,0,0,0.000039,0,0.000039,0,-23.904027,9.942912,0.114952,-21.535829,0.261396,-4.585299,0.118916,9.942912,0.114952,-21.535829,0.256606,-4.171012,0.118916,0.364597,0.114952,-23.716484,0.282314,-4.171012,0.007531,0.082286,0.082443,14.646954,56.213687,99.753291,0.082289,0.089589,638287.3619,100,71.821919
Sing,USC,191002 14:26:26.322,0,0,0.000039,0,0.000039,0,-24.900019,10.774943,0.147834,-22.394851,0.344383,-4.693375,0.153444,10.774943,0.147834,-22.394851,0.338223,-4.244419,0.153444,0.345371,0.147834,-24.848625,0.37093,-4.244419,-0.000135,0.082128,0.082372,14.649107,56.132342,99.640866,0.082128,0.089495,637835.6469,100,71.821919
Sing,USC,191002 14:26:42.924,0,0,0.000039,0,0.000039,-0.000001,-25.896017,11.588769,0.178035,-23.008868,0.625193,-4.780447,0.31323,11.588769,0.178035,-23.008868,0.617775,-4.297581,0.31323,0.377409,0.178035,-25.758629,0.69212,-4.297581,0.015287,0.081889,0.08211,14.648704,56.059926,99.482522,0.08188,0.089359,636990.975,100,71.821919
Sing,USC,191002 14:26:59.527,0,0,0.000039,0,0.000039,0,-26.891974,12.425031,0.264527,-23.598716,0.900645,-4.917478,0.505156,12.425031,0.264527,-23.598716,0.889623,-4.399768,0.505156,0.408586,0.264527,-26.665633,1.02156,-4.399768,0.051409,0.082282,0.082449,14.650125,55.98225,99.715862,0.082281,0.089575,638687.4438,100,71.821919
Sing,USC,191002 14:27:16.128,0,0,0.000039,0,0.000039,0,-27.888015,13.07371,0.307371,-24.059358,1.190887,-4.847398,0.701097,13.07371,0.307371,-24.059358,1.17808,-4.30266,0.701097,0.303052,0.307371,-27.379006,1.368907,-4.30266,0.071728,0.082216,0.082451,14.64973,55.904089,99.664988,0.082211,0.089536,638548.4713,100,71.821919
Sing,USC,191002 14:27:32.925,0,0,0.000039,0,0.000039,0,-28.883977,13.858243,0.387515,-24.530871,1.199885,-5.006358,0.756764,13.858243,0.387515,-24.530871,1.183738,-4.428932,0.756764,0.286511,0.387515,-28.17181,1.401788,-4.428932,0.094072,0.081926,0.082155,14.649611,55.835283,99.482134,0.081919,0.089378,637517.0431,100,71.821919
Sing,USC,191002 14:27:49.529,0,0,0.000039,0,0.000039,-0.000001,-29.880029,14.914292,0.357403,-25.45446,1.133667,-5.026528,0.773823,14.914292,0.357403,-25.45446,1.118776,-4.4051,0.773823,0.25242,0.357403,-29.499482,1.355379,-4.4051,0.117151,0.082586,0.082764,14.647409,55.775157,99.882143,0.082574,0.089743,640099.4356,100,71.821919
Sing,USC,191002 14:28:06.127,0,0,0.000035,0,0.000039,0,-30.875976,15.958336,0.341798,-26.366994,0.946737,-4.996224,0.72424,15.958336,0.341798,-26.366994,0.932496,-4.331294,0.72424,0.16731,0.341797,-30.818464,1.171899,-4.331294,0.14733,0.082539,0.082706,14.646684,55.708115,99.855699,0.08254,0.089725,640070.5425,100,71.821919
Sing,USC,191002 14:28:22.721,0,0,0,0,0.000039,-0.000001,-31.872028,17.267149,0.179774,-27.792653,0.641337,-4.948717,0.587532,17.267149,0.179774,-27.792653,0.633847,-4.229252,0.587532,-0.009649,0.179774,-32.718451,0.848503,-4.229252,0.169015,0.082691,0.082905,14.647817,55.650723,99.9328,0.082687,0.089799,640769.8769,100,71.821919
Sing,USC,191002 14:28:39.325,0,0,0.000011,0,0.000039,0,-32.868019,18.284689,-0.129492,-28.591345,0.858279,-5.015669,0.714041,18.284689,-0.129492,-28.591345,0.863676,-4.253807,0.714041,-0.157062,-0.129492,-33.936255,1.112996,-4.253807,0.135512,0.082563,0.082752,14.645532,55.60732,99.858502,0.082558,0.089736,640288.675,100,71.821919
Sing,USC,191002 14:28:55.928,0,0,0.000039,0,0.000039,0,-33.864017,18.846618,-0.158178,-28.731112,0.790419,-4.975125,0.694162,18.846618,-0.158178,-28.731112,0.79701,-4.189849,0.694162,-0.35794,-0.158178,-34.357379,1.048818,-4.189849,0.13727,0.082438,0.082639,14.646708,55.563518,99.776129,0.082433,0.089666,639889.0431,100,71.821919
Sing,USC,191002 14:29:12.523,0,0,0.000039,0,0.000039,0,-34.860022,19.419777,-0.023536,-28.869995,0.757478,-4.958479,0.692262,19.419777,-0.023536,-28.869995,0.758458,-4.149321,0.692262,-0.564004,-0.023536,-34.787371,1.018399,-4.149321,0.139987,0.08252,0.08263,14.645514,55.519424,99.829159,0.082523,0.089717,640291.0619,100,71.821919
