Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191023 14:30:10.436, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 5.000016, 2.258436, 0.862108, 5.797377, 1.110588,-1.090678, 0.174522, 2.258436, 0.862108, 5.797377, 1.074668,-0.996577, 0.174522, 1.561253, 1.241184, 5.956114, 1.211498,-0.794822, 0.281182, 0.045168, 0.045191,14.710019,71.873277,74.849143, 0.045159, 0.066225,456141.539062,75.000000,71.873156,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001731,-10.375275,-0.016910,,,,,
Sing,USC,191023 14:30:27.535, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 3.999992, 2.195562, 0.953753, 5.226495, 1.010312,-1.150131, 0.092104, 2.195562, 0.953753, 5.226495, 0.970573,-1.058649, 0.092104, 1.627145, 1.320518, 5.353039, 1.130459,-0.874028, 0.171377, 0.045340, 0.045391,14.711950,71.900448,74.994938, 0.045340, 0.066352,457055.264062,75.000000,71.900349,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001742,-10.375275,-0.015731,,,,,
Sing,USC,191023 14:30:44.438, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 2.999971, 2.102956, 0.955916, 4.649958, 1.039401,-1.172063, 0.116578, 2.102956, 0.955916, 4.649958, 0.999572,-1.084440, 0.116578, 1.659046, 1.306567, 4.743286, 1.164989,-0.894391, 0.177791, 0.045400, 0.045447,14.711573,71.928823,75.048969, 0.045401, 0.066398,457320.359375,75.000000,71.928635,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001766,-10.375275,-0.014573,,,,,
Sing,USC,191023 14:31:01.435, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 1.999971, 2.037529, 0.958376, 4.110973, 1.029602,-1.203724, 0.128175, 2.037529, 0.958376, 4.110973, 0.989670,-1.118827, 0.128175, 1.695564, 1.297630, 4.172688, 1.163731,-0.929975, 0.168891, 0.045388, 0.045410,14.710432,71.956414,75.049082, 0.045395, 0.066396,457247.361875,75.000000,71.956276,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001788,-10.375275,-0.013959,,,,,
Sing,USC,191023 14:31:18.537, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999, 1.000021, 1.969577, 0.931372, 3.578793, 1.050546,-1.285961, 0.163845, 1.969577, 0.931372, 3.578793, 1.011738,-1.203895, 0.163845, 1.715193, 1.259236, 3.609277, 1.202379,-1.009919, 0.184855, 0.045401, 0.045417,14.713726,71.983707,75.048264, 0.045402, 0.066394,457299.240000,75.000000,71.983502,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001706,-10.375275,-0.013592,,,,,
Sing,USC,191023 14:31:35.535, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-0.000022, 1.926968, 0.880406, 2.951996, 1.121803,-1.296369, 0.239710, 1.926968, 0.880406, 2.951996, 1.085119,-1.216079, 0.239710, 1.744813, 1.201644, 2.951995, 1.279805,-1.009175, 0.239710, 0.045367, 0.045456,14.710652,72.010477,75.026818, 0.045363, 0.066373,457024.833750,75.000000,72.010295,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001761,-10.375275,-0.013181,,,,,
Sing,USC,191023 14:31:52.637, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-1.000015, 1.878221, 0.734437, 2.421503, 1.324507,-1.392955, 0.420248, 1.878221, 0.734437, 2.421503, 1.293905,-1.314696, 0.420248, 1.764152, 1.049429, 2.391078, 1.509649,-1.070038, 0.393960, 0.045393, 0.045419,14.708214,72.035398,75.053156, 0.045387, 0.066395,457089.101562,75.000000,72.035287,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001742,-10.375275,-0.012982,,,,,
Sing,USC,191023 14:32:09.735, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-2.000009, 1.844259, 0.831883, 1.868286, 1.070981,-1.432755, 0.273293, 1.844259, 0.831883, 1.868286, 1.036320,-1.355910, 0.273293, 1.735969, 1.139498, 1.808803, 1.264800,-1.155356, 0.229292, 0.045360, 0.045345,14.708262,72.061522,75.024825, 0.045352, 0.066368,456888.383750,75.000000,72.061229,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001734,-10.375275,-0.013197,,,,,
Sing,USC,191023 14:32:26.637, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-3.000022, 1.905236, 0.976537, 1.273284, 0.725626,-1.596093, 0.055428, 1.905236, 0.976537, 1.273284, 0.684937,-1.516708, 0.055428, 1.771018, 1.292543, 1.182215, 0.939521,-1.374728, 0.006265, 0.045318, 0.045389,14.711274,72.085227,74.995548, 0.045322, 0.066341,456746.006250,75.000000,72.085078,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001809,-10.375275,-0.013774,,,,,
