Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,191016 16:55:30.262, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 5.000011, 3.729025, 0.472476,10.029956, 3.508563,-1.719105, 1.356219, 3.729025, 0.472476,10.029956, 3.488877,-1.563729, 1.356219, 2.702496, 1.112836,10.304707, 3.575101,-0.934136, 1.674181, 0.078912, 0.079098,14.586515,76.224103,99.764440, 0.078907, 0.087910,594221.025000,100.000000,76.224070,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001930,-10.375275,-0.026503,,,,,
Sing,USC,191016 16:55:47.562, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 3.999958, 3.378319, 0.565152, 9.064491, 3.411512,-1.374504, 1.318683, 3.378319, 0.565152, 9.064491, 3.387964,-1.233741, 1.318683, 2.588692, 1.143205, 9.267642, 3.450095,-0.626684, 1.563154, 0.079244, 0.079439,14.586799,76.231491,99.977782, 0.079248, 0.088098,595508.021250,100.000000,76.231472,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001920,-10.375275,-0.023376,,,,,
Sing,USC,191016 16:56:04.663, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 2.999970, 3.107560, 0.587390, 8.080786, 3.420099,-1.185349, 1.367941, 3.107560, 0.587390, 8.080786, 3.395624,-1.055867, 1.367941, 2.531384, 1.118088, 8.224538, 3.450961,-0.450182, 1.550674, 0.079368, 0.079575,14.585836,76.240693,100.058321, 0.079367, 0.088168,595914.919375,100.000000,76.240737,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002011,-10.375275,-0.021001,,,,,
Sing,USC,191016 16:56:21.867, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 1.999969, 3.001436, 0.645180, 7.115743, 3.291089,-1.308117, 1.300811, 3.001436, 0.645180, 7.115743, 3.264206,-1.183057, 1.300811, 2.593739, 1.156572, 7.210655, 3.372572,-0.598261, 1.419375, 0.079319, 0.079521,14.584486,76.250597,100.031907, 0.079319, 0.088144,595699.439375,100.000000,76.250514,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001995,-10.375275,-0.020074,,,,,
Sing,USC,191016 16:56:39.165, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998, 0.999975, 2.893473, 0.728044, 6.135728, 3.164301,-1.368568, 1.239354, 2.893473, 0.728044, 6.135728, 3.133966,-1.248006, 1.239354, 2.615596, 1.219429, 6.182317, 3.280936,-0.684839, 1.296811, 0.079408, 0.079527,14.585079,76.262217,100.082077, 0.079404, 0.088187,596029.401875,100.000000,76.262203,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002022,-10.375275,-0.019500,,,,,
Sing,USC,191016 16:56:56.459, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998,-0.000010, 2.894541, 0.790059, 5.176884, 2.954888,-1.575122, 1.126642, 2.894541, 0.790059, 5.176884, 2.921970,-1.454517, 1.126642, 2.713374, 1.280687, 5.176883, 3.130153,-0.925024, 1.126642, 0.079380, 0.079562,14.587503,76.272668,100.061519, 0.079379, 0.088168,595958.970625,100.000000,76.272618,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002006,-10.375275,-0.019653,,,,,
Sing,USC,191016 16:57:13.664, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998,-1.000014, 2.885463, 0.841938, 4.310093, 2.753501,-1.881407, 1.016664, 2.885463, 0.841938, 4.310093, 2.718420,-1.761180, 1.016664, 2.770237, 1.330202, 4.262394, 3.000236,-1.262375, 0.964449, 0.079321, 0.079461,14.587986,76.283639,100.022543, 0.079321, 0.088133,595741.675000,100.000000,76.283578,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002049,-10.375275,-0.019616,,,,,
Sing,USC,191016 16:57:30.858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999998,-2.000011, 2.950062, 0.881444, 3.261793, 2.584789,-2.075254, 0.915956, 2.950062, 0.881444, 3.261793, 2.548062,-1.952335, 0.915956, 2.864341, 1.380325, 3.163756, 2.878602,-1.480209, 0.815991, 0.079352, 0.079538,14.586785,76.295032,100.048307, 0.079350, 0.088154,595801.876250,100.000000,76.294952,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002003,-10.375275,-0.020516,,,,,
Sing,USC,191016 16:57:47.963, 0.000000, 0.000000, 0.000000, 0.000000, 0.000039, 9.999998,-3.000021, 3.027609, 0.940566, 2.240980, 2.374720,-2.352581, 0.780386, 3.027609, 0.940566, 2.240980, 2.335530,-2.226431, 0.780386, 2.931708, 1.452015, 2.090410, 2.723824,-1.787046, 0.638706, 0.079260, 0.079415,14.586700,76.306020,99.992293, 0.079258, 0.088104,595432.295625,100.000000,76.305959,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.002058,-10.375275,-0.021153,,,,,
