Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,240318 12:26:29.669, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001,-4.000031, 2.698263, 0.380267,-9.221740,-0.220716, 0.324851,-0.044647, 2.698263, 0.380267,-9.221740,-0.220716, 0.324851,-0.044647, 2.048409, 0.380267,-9.387498,-0.223293, 0.324851,-0.029142, 0.079717, 0.079687,14.591822,68.345915,99.838945, 0.080238, 0.088630,610737.651250,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.982220,-0.002960, 0.001700, 0.008264,-0.019099,,,,,
Sing,USC,240318 12:26:48.411, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001,-1.999974, 2.340429, 0.334678,-7.202672,-0.196976, 0.403541, 0.004739, 2.340429, 0.334678,-7.202672,-0.196976, 0.403541, 0.004739, 2.087638, 0.334678,-7.279963,-0.196690, 0.403541, 0.011610, 0.080057, 0.079978,14.590462,68.343931,100.054041, 0.080574, 0.088821,611973.173750,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.983558,-0.002949, 0.001720, 0.007748,-0.015557,,,,,
Sing,USC,240318 12:27:06.963, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001, 0.000030, 2.052419, 0.321168,-5.204712,-0.192757, 0.638619,-0.002808, 2.052419, 0.321168,-5.204712,-0.192757, 0.638619,-0.002808, 2.052421, 0.321168,-5.204711,-0.192757, 0.638619,-0.002808, 0.080134, 0.080113,14.592169,68.342233,100.098782, 0.080653, 0.088861,612303.416875,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.983365,-0.003002, 0.001812, 0.007694,-0.013493,,,,,
Sing,USC,240318 12:27:25.567, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001, 2.000013, 1.880237, 0.312733,-3.256874,-0.234192, 0.913948,-0.039420, 1.880237, 0.312733,-3.256874,-0.234192, 0.913948,-0.039420, 1.992755, 0.312733,-3.189270,-0.232674, 0.913948,-0.047569, 0.080048, 0.079958,14.590320,68.339478,100.049437, 0.080565, 0.088817,611936.477500,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984800,-0.002964, 0.001785, 0.008584,-0.012626,,,,,
Sing,USC,240318 12:27:44.172, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001, 3.999965, 1.771275, 0.272033,-1.198544,-0.180716, 1.119048,-0.011700, 1.771275, 0.272033,-1.198544,-0.180716, 1.119048,-0.011700, 1.850565, 0.272033,-1.072069,-0.179459, 1.119048,-0.024278, 0.080009, 0.079964,14.589441,68.337225,100.030604, 0.080528, 0.088801,611778.387500,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984353,-0.002989, 0.001786, 0.010530,-0.012595,,,,,
Sing,USC,240318 12:28:02.771, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001, 6.000029, 1.749255, 0.234673, 0.940328,-0.097239, 1.201258, 0.025403, 1.749255, 0.234673, 0.940328,-0.097239, 1.201258, 0.025403, 1.641381, 0.234673, 1.118023,-0.099362, 1.201258, 0.015100, 0.079988, 0.079962,14.591997,68.336107,100.004408, 0.080501, 0.088777,611732.396875,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.987106,-0.002947, 0.001732, 0.009269,-0.012803,,,,,
Sing,USC,240318 12:28:21.378, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001, 8.000003, 1.790509, 0.206887, 2.983961,-0.027052, 1.539108, 0.073768, 1.790509, 0.206887, 2.983961,-0.027052, 1.539108, 0.073768, 1.357797, 0.206887, 3.204112,-0.037055, 1.539108, 0.069286, 0.079875, 0.079797,14.588281,68.337590,99.943324, 0.080392, 0.088723,611274.958125,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.982349,-0.002961, 0.001726, 0.007432,-0.013374,,,,,
Sing,USC,240318 12:28:40.261, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001, 9.999961, 1.973227, 0.119728, 5.077382, 0.042559, 1.805824, 0.138459, 1.973227, 0.119728, 5.077382, 0.042559, 1.805824, 0.138459, 1.061575, 0.119728, 5.342891, 0.017869, 1.805824, 0.143746, 0.079681, 0.079682,14.589129,68.337358,99.831091, 0.080206, 0.088623,610548.650625,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.980343,-0.002953, 0.001701, 0.007672,-0.014772,,,,,
Sing,USC,240318 12:28:58.860, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118,-0.000001,12.000026, 2.276571, 0.020869, 7.211819, 0.154584, 2.088543, 0.254148, 2.276571, 0.020869, 7.211819, 0.154584, 2.088543, 0.254148, 0.727397, 0.020869, 7.527550, 0.098366, 2.088543, 0.280734, 0.079610, 0.079562,14.588641,68.336232,99.777229, 0.080121, 0.088576,610226.478750,100.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.978411,-0.002937, 0.001743, 0.007274,-0.017205,,,,,
