Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,240318 12:16:59.659, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999997,-4.000027, 1.850026, 1.099885,-4.895357,-0.580905,-0.176495,-0.124952, 1.850026, 1.099885,-4.895357,-0.580905,-0.176495,-0.124952, 1.285469, 1.404429,-4.997200,-0.548830,-0.274688,-0.086879, 0.044907, 0.044714,14.599936,68.794720,74.949887, 0.045206, 0.066507,458050.346875,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.984561,-0.002952, 0.001670, 0.008560,-0.013173,,,,,
Sing,USC,240318 12:17:18.364, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,-1.999965, 1.608516, 1.095608,-3.811386,-0.504206,-0.062986,-0.065453, 1.608516, 1.095608,-3.811386,-0.504206,-0.062986,-0.065453, 1.259967, 1.358279,-3.857708,-0.487597,-0.149584,-0.048465, 0.045044, 0.044829,14.600780,68.764284,75.056352, 0.045338, 0.066603,458760.408750,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.981583,-0.002932, 0.001633, 0.009611,-0.010724,,,,,
Sing,USC,240318 12:17:37.060, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 0.000029, 1.450308, 1.115753,-2.736076,-0.482168, 0.097055,-0.066687, 1.450308, 1.115753,-2.736076,-0.482168, 0.097055,-0.066687, 1.234528, 1.350646,-2.736075,-0.491697, 0.011853,-0.066687, 0.045058, 0.044878,14.600022,68.735973,75.064332, 0.045347, 0.066612,458816.428750,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.986208,-0.002928, 0.001675, 0.009200,-0.009683,,,,,
Sing,USC,240318 12:17:55.762, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 2.000015, 1.346302, 1.161016,-1.699002,-0.502507, 0.273631,-0.109783, 1.346302, 1.161016,-1.699002,-0.502507, 0.273631,-0.109783, 1.182851, 1.377161,-1.658731,-0.538226, 0.182214,-0.128645, 0.044993, 0.044763,14.598764,68.709443,75.014714, 0.045286, 0.066570,458525.051563,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.980719,-0.002913, 0.001683, 0.009277,-0.009609,,,,,
Sing,USC,240318 12:18:14.464, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 3.999963, 1.271109, 1.110727,-0.552761,-0.335773, 0.434773,-0.048266, 1.271109, 1.110727,-0.552761,-0.335773, 0.434773,-0.048266, 1.094901, 1.314578,-0.477548,-0.401813, 0.369861,-0.076482, 0.044986, 0.044722,14.597805,68.684288,75.007013, 0.045277, 0.066564,458492.796250,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.983055,-0.002943, 0.001729, 0.009263,-0.009788,,,,,
Sing,USC,240318 12:18:33.172, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999997, 6.000026, 1.240306, 1.039426, 0.651764,-0.132157, 0.536140, 0.016688, 1.240306, 1.039426, 0.651764,-0.132157, 0.536140, 0.016688, 0.967138, 1.239012, 0.757006,-0.223771, 0.505047,-0.006739, 0.044992, 0.044748,14.599655,68.658982,75.004752, 0.045285, 0.066564,458601.793438,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.985394,-0.002890, 0.001674, 0.009152,-0.009998,,,,,
Sing,USC,240318 12:18:51.990, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 7.999997, 1.239823, 0.987205, 1.771418,-0.013671, 0.738951, 0.046813, 1.239823, 0.987205, 1.771418,-0.013671, 0.738951, 0.046813, 0.792813, 1.187500, 1.900250,-0.146916, 0.725350, 0.026625, 0.044935, 0.044668,14.600002,68.637741,74.955817, 0.045225, 0.066522,458311.646875,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.985552,-0.002909, 0.001714, 0.009195,-0.010409,,,,,
Sing,USC,240318 12:19:10.773, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998, 9.999958, 1.313729, 0.878305, 2.917023, 0.132776, 0.952719, 0.134283, 1.313729, 0.878305, 2.917023, 0.132776, 0.952719, 0.134283, 0.617384, 1.093088, 3.070884,-0.057471, 0.961301, 0.126220, 0.044844, 0.044591,14.597191,68.614812,74.890245, 0.045141, 0.066465,457873.856563,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.987438,-0.002925, 0.001715, 0.007460,-0.011069,,,,,
Sing,USC,240318 12:19:29.375, 0.000000, 0.000000, 0.000000, 0.000000,-0.000118, 9.999998,12.000019, 1.521595, 0.779668, 4.196662, 0.198438, 1.020728, 0.210379, 1.521595, 0.779668, 4.196662, 0.198438, 1.020728, 0.210379, 0.460768, 1.032045, 4.388358,-0.025962, 1.039679, 0.209561, 0.044715, 0.044505,14.599328,68.590400,74.773608, 0.045008, 0.066363,457251.428125,75.000000,71.802585,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 0.981926,-0.002985, 0.001681, 0.008855,-0.012589,,,,,
